issue,category,solution_steps
Cannot reset password,Account,Go to company portal > Forgot Password > verify OTP sent to registered email/mobile > set new password.
VPN not connecting,Network,Check internet connection > restart VPN client > verify correct VPN server address > reinstall VPN client if issue persists.
Printer offline / not printing,Hardware,Check printer power and cable > restart printer > remove and re-add printer in Settings > update printer driver.
Laptop running very slow,Performance,Close unused background apps > run disk cleanup > check startup programs > restart laptop > scan for malware.
Software installation failed,Software,Run installer as Administrator > check disk space > disable antivirus temporarily > redownload installer if corrupted.
Email not syncing / not receiving mail,Email,Check internet connection > verify correct email settings (IMAP/POP) > remove and re-add account > clear cache.
WiFi keeps disconnecting,Network,Restart router > forget and reconnect WiFi network > update WiFi driver > move closer to router.
Blue screen error / system crash,System,Note error code shown > restart in Safe Mode > update drivers > run Windows Memory Diagnostic > contact IT if repeats.
Cannot access shared drive,Access,Check network connection > verify correct permissions with admin > reconnect mapped drive > restart file explorer.
Zoom/Teams audio or video not working,Software,Check camera/mic permissions in app settings > update app > restart app > check device audio/video settings.
Forgot laptop login password,Account,Use 'Forgot Password' option on login screen > verify identity via registered email > reset via IT admin if locked out.
System asking for software license activation,Software,Go to Settings > Activation > enter valid license key > ensure internet connection is active > contact IT if key invalid.
Outlook not opening,Software,Restart Outlook in Safe Mode > repair Office installation > check PST file size > create new Outlook profile.
USB device not detected,Hardware,Try different USB port > update USB drivers > restart laptop > test device on another system.
Screen flickering / display issue,Hardware,Update graphics driver > check display cable connection > adjust refresh rate in display settings > test with external monitor.
